date,VNINDEX,SSI,HCM,REE,PVT
6/9/19,974.08,16.37,19.99,33.88,17.7
5/9/19,976.79,16.53,19.89,33.64,17.8
4/9/19,977.63,16.6,19.89,34.31,17.55
3/9/19,979.36,16.64,19.47,35.17,17.1
8/30/19,984.06,16.68,19.75,34.93,17.2
8/29/19,978.59,16.41,19.04,34.65,17.4
8/28/19,977.26,16.56,18.95,34.69,17.55
8/27/19,976.79,16.6,19.28,34.79,17.9
8/26/19,982.88,16.76,19.61,34.6,17.7
8/23/19,992.45,17.3,20.08,34.6,18.3
8/22/19,997.26,17.38,20.5,34.98,18
8/21/19,994.38,17.46,20.22,35.46,18.3
8/20/19,984.67,17.15,19.84,35.26,18.3
8/19/19,981.03,17.22,20.03,35.74,18.4
8/16/19,980,17.26,19.7,35.79,17.5
8/15/19,979.38,16.95,18.43,34.84,17.35
8/14/19,968.91,16.91,18.67,34.22,17.35
8/13/19,966.83,16.95,18.48,34.31,17.4
12/8/19,975.31,17.19,18.95,33.17,17.4
9/8/19,974.34,17.07,19.04,32.79,17.68
8/8/19,975.24,16.45,19.09,32.41,17.5
7/8/19,965.93,16.45,18.48,30.4,17.02
6/8/19,964.61,16.8,18.85,30.55,16.5
5/8/19,973.15,17.3,19.28,30.98,17.07
2/8/19,991.1,17.88,19.84,31.45,17.31
1/8/19,997.39,18.08,20.08,31.74,17.45
7/31/19,991.66,18,20.13,31.21,17.31
7/30/19,986.02,18.12,20.08,31.07,16.27
7/29/19,997.94,18.7,20.13,31.07,16.5
7/26/19,993.35,18.93,20.5,31.21,16.12
7/25/19,994.95,18.89,20.98,31.69,16.03
7/24/19,988.41,19.16,21.07,31.79,15.89
7/23/19,989.46,19.47,21.68,32.02,15.84
7/22/19,982.04,19.44,21.54,31.31,15.65
7/19/19,982.34,19.86,22.2,31.5,16.12
7/18/19,976.05,19.82,22.29,31.74,16.46
7/17/19,982.57,20.02,22.53,31.93,16.46
7/16/19,982.11,19.4,21.92,32.07,16.46
7/15/19,972.53,19.4,22.48,32.41,16.69
12/7/19,975.4,19.44,22.48,32.12,16.46
11/7/19,978.63,19.47,22.48,32.21,16.17
10/7/19,973.65,19.32,22.34,32.55,16.27
9/7/19,969.05,19.44,22.67,31.98,16.36
8/7/19,966.35,19.47,22.86,31.93,15.89
5/7/19,975.34,19.67,23.19,31.79,15.56
4/7/19,973.04,19.55,23,31.79,15.6
3/7/19,960.39,19.28,22.34,31.5,15.51
2/7/19,961.98,19.2,22.39,30.69,15.6
1/7/19,965.61,19.4,22.44,30.5,15.56
6/28/19,949.94,19.24,22.01,30.26,15.41
6/27/19,943.11,19.09,21.78,30.17,15.46
6/26/19,959.13,19.24,22.15,30.5,15.46
6/25/19,960.13,19.28,22.44,30.26,15.32
6/24/19,962.85,19.32,22.72,30.64,15.37
6/21/19,959.2,19.47,22.62,30.74,15.51
6/20/19,959.18,19.47,22.29,30.64,15.51
6/19/19,949.69,19.24,21.54,30.36,15.41
6/18/19,944.01,18.97,21.45,30.12,15.46
6/17/19,946.95,19.09,21.54,30.07,15.46
6/14/19,953.61,19.24,21.78,30.36,15.41
6/13/19,950.08,19.24,21.92,30.55,15.65
12/6/19,954.17,19.28,22.11,30.69,15.7
11/6/19,962.07,19.55,22.2,31.17,15.65
10/6/19,962.9,19.55,22.29,30.83,15.65
7/6/19,958.28,19.44,21.92,31.07,15.84
6/6/19,948.21,19.16,21.54,30.5,15.46
5/6/19,951.41,19.28,21.96,30.5,15.41
4/6/19,951.16,19.24,21.73,30.45,15.46
3/6/19,946.47,19.2,21.87,30.02,15.56
5/31/19,959.88,19.28,23,30.98,15.89
5/30/19,969.34,19.47,23.43,31.45,16.08
5/29/19,971.54,19.44,23.43,31.02,16.27
5/28/19,972,19.55,23.14,30.93,16.08
5/27/19,975.14,19.67,23.14,31.07,16.12
5/24/19,970.03,19.82,23.57,31.36,16.03
5/23/19,982.71,20.21,23.99,31.5,15.56
5/22/19,983.78,20.21,24.04,31.4,15.51
5/21/19,986.29,20.21,24.09,31.79,15.6
5/20/19,987.13,20.25,23.9,31.98,15.51
5/17/19,976.48,19.94,23.42,31.26,15.46
5/16/19,975.69,19.82,23.72,31.36,15.56
5/15/19,975.64,19.98,23.94,31.45,15.65
5/14/19,965.34,19.44,23.68,31.4,15.6
5/13/19,958.54,19.55,23.64,30.98,15.41
10/5/19,952.55,19.44,23.07,30.59,15.46
9/5/19,947.01,19.09,22.8,30.4,15.13
8/5/19,951.22,19.16,23.15,30.12,15.18
7/5/19,957.56,19.32,22.45,29.5,15.18
6/5/19,957.97,19.55,21.92,29.55,14.99
3/5/19,974.14,20.09,22.19,30.45,15.46
2/5/19,978.5,19.86,21.75,30.5,15.51
4/26/19,979.64,20.02,22.32,30.31,15.46
4/25/19,974.13,19.78,22.28,30.02,15.51
4/24/19,976.92,19.94,22.71,29.88,15.46
4/23/19,968,19.51,21.31,29.55,15.46
4/22/19,965.86,19.55,21.31,29.55,15.46
4/19/19,966.21,20.17,22.45,29.93,15.51
4/18/19,962.3,20.17,22.71,29.88,15.37
4/17/19,972.1,20.6,23.37,30.17,15.7
4/16/19,977.17,20.75,23.64,30.17,15.79
12/4/19,982.9,20.95,23.85,30.31,15.75
11/4/19,985.95,21.14,24.29,30.31,15.79
10/4/19,981.91,21.3,24.6,30.31,15.89
9/4/19,988.48,21.72,24.91,30.79,15.89
8/4/19,997.56,21.57,24.73,31.02,16.08
5/4/19,989.26,21.34,24.21,30.83,15.7
4/4/19,986.91,21.18,24.21,30.26,15.51
3/4/19,984.46,21.22,24.21,30.07,15.41
2/4/19,985.81,21.49,24.38,30.31,15.46
1/4/19,988.53,21.49,24.56,30.12,15.65
3/29/19,980.76,21.1,24.73,30.36,16.08
3/28/19,982.98,20.99,25.08,30.5,16.36
3/27/19,975.91,21.03,25.13,30.21,16.27
3/26/19,969.79,21.03,25.08,30.07,16.36
3/25/19,970.07,20.79,24.56,30.07,16.36
3/22/19,988.71,21.34,25.56,31.21,16.55
3/21/19,981.78,21.18,25.43,30.98,16.64
3/20/19,1002.3,22.15,26.66,31.83,16.93
3/19/19,1006.59,22.42,26.75,31.26,16.93
3/18/19,1011.86,22.65,27.27,31.83,16.93
3/15/19,1004.12,22.89,27.01,32.41,16.6
3/14/19,1008.44,22.85,27.1,32.88,16.46
3/13/19,1005.41,22.81,27.19,32.88,16.74
12/3/19,1001.32,22.34,25.7,33.07,16.64
11/3/19,984.6,22.19,25.43,32.02,16.36
8/3/19,985.25,22.07,25.43,32.31,16.46
7/3/19,994.03,22.31,26.22,32.45,16.5
6/3/19,994.49,22.34,25.87,32.88,16.83
5/3/19,992.45,22.34,25.52,32.17,16.64
4/3/19,993.99,22.42,25.87,31.55,16.64
1/3/19,979.63,21.88,25.78,31.5,16.08
2/28/19,965.47,21.65,24.99,31.5,16.36
2/27/19,990.27,21.92,26.66,32.41,16.36
2/26/19,987.06,22.11,26.84,32.5,16.12
2/25/19,994.43,22.19,26.22,32.21,16.17
2/22/19,988.91,21.92,24.56,32.12,16.22
2/21/19,987.57,21.65,24.99,32.17,16.08
2/20/19,970.58,21.34,23.94,32.03,16.27
2/19/19,964.35,21.14,22.38,32.12,16.41
2/18/19,961.3,21.03,22.91,32.53,16.74
2/15/19,950.89,20.83,22.73,31.76,16.64
2/14/19,952.34,21.03,22.47,31.58,16.64
2/13/19,945.25,21.1,22.78,31.63,16.55
12/2/19,937.54,21.06,22.65,31.53,16.41
11/2/19,926.1,20.87,21.4,31.31,16.46
1/2/19,908.67,20.25,20.02,30.49,16.08
1/31/19,910.65,20.25,20.24,30.49,16.08
1/30/19,915.84,20.17,19.97,30.54,16.03
1/29/19,915.93,20.33,20.51,29.86,16.22
1/28/19,912.18,20.21,20.02,29.77,16.17
1/25/19,908.88,20.33,20.28,29.77,15.94
1/24/19,908.79,19.82,20.37,29.77,15.89
